GEOID,County,PM2.5,Ozone,drinkw,pest,toxr,dieselpm,Traffic,Lead,cleanup,groundw,hazard,impwater,solidw,pollutionb,Asthma,lowbirth,cardiod,Education,lingisol,Poverty,Unemployment,houseburd,tpop,ageu10pop,age1064pop,age65pop,phisp,pwhite,pblack,pnative,pasian,urbid
6079010201,San Luis Obispo,6.881490083,0.046,533.94,36.57,20.60242887,0.033,424.5065718,14.19,18.1,3,2.995,3,0,34.45,46.01,4.63,9.29,6.8,0,18.7,6,Middle,7491,13.15,66.03,20.82,23.56,71.53,0.25,0.73,2.1,0
6075015200,San Francisco,8.637295646,0.029,258.79,0,385.5990092,0.702,1964.438383,43.5,0,3.75,1.79,10,0,39.69,38.35,4.11,6.07,6.3,8.3,21,4.7,Middle,4277,7.36,71.17,21.46,9.24,57.66,4.35,0,24.5,1
6075025401,San Francisco,8.588961714,0.032,258.79,0,307.3400014,0.846,368.4406819,69.17,9,3.5,0.17,0,0.5,31.9,55.45,5.2,9.34,9.5,7.1,20.4,1.9,Low,3775,6.89,87.07,6.04,26.57,57.7,1.14,0,9.59,1
6083002808,Santa Barbara,7.322758327,0.035,261.46,308.66,1.318773333,0.034,301.0466699,39.31,0,5,9.11,8,2,31.91,44.75,4.4,14.45,5.7,1.9,22.1,5.2,Low,8114,11.39,70.62,17.99,22.39,62.16,4.04,0.46,3.42,0
6037920314,Los Angeles,9.79516754,0.066,667.88,0,274.3939947,0.03,1374.338242,18.58,20.7,2.2,0.52,5,3.35,48.21,24.8,3.47,9.88,2.8,2.6,17.4,4.6,Middle,2920,10.1,77.77,12.12,27.98,61.23,1.68,0,6.16,0
6083002806,Santa Barbara,7.429759409,0.031,291.22,705.62,1.0756877,0.089,205.1406815,32.83,1,0,0.11,8,0.2,23.76,49.65,2.34,15.92,20.1,4.1,28.3,12,Middle,2505,14.41,69.82,15.77,43.99,47.7,1.4,0,3.63,0
6037143602,Los Angeles,11.4411813,0.056,726.64,0,1148.827342,0.091,1192.006065,30.65,0,0,0.24,6,0.5,42.43,18.88,4.44,8.54,7,0.8,13.2,6.6,Middle,4769,7.74,75.09,17.17,5.58,73.12,4.34,0,13.92,1
6059001505,Orange,12.01556778,0.048,804.54,0,3844.093262,0.081,1662.317976,31.09,4,0,0.185,0,4,47.13,33.06,2.99,10.08,7.5,4.8,10.2,4.2,Middle,6931,9.67,77.75,12.58,24.66,48.68,2.45,0,18.48,0
6013361000,Contra Costa,8.797606351,0.031,110.41,0.01,993.9283245,0.033,709.3564348,53,0,0,0.135,8,0,24.86,55.68,5.78,11.71,10.2,3.2,23.9,5.4,Middle,5093,10.47,72.83,16.71,25.96,32.12,12.35,0,24.84,0
6037135203,Los Angeles,10.39558293,0.058,651.09,0,353.6743317,0.032,609.4964004,32.99,0,3,0.15,1,0,30.23,39.46,4.32,13.28,6,7.5,16.9,5.1,Middle,7515,13.72,68.42,17.86,8.25,70.55,1.92,0,14.6,1
6071009911,San Bernardino,7.884214848,0.061,320.97,0,47.53593447,0.028,334.1599743,31.63,0,0,0.05,0,0,16.39,86.91,5.58,32.25,20.4,5.3,38,12.6,Middle,7388,16.8,73.9,9.3,56.32,21.91,12.03,0.12,3.21,1
6067007421,Sacramento,8.524128688,0.051,688.1,0.14,50.07923377,0.101,705.1503303,14.59,0.5,0,0.6,0,0,29.72,57.15,3.74,20.18,5.8,4.2,23.3,1,Low,9610,14.09,77.68,8.23,6.41,65.19,8.36,0.06,16.19,0
6079010300,San Luis Obispo,6.633930396,0.048,595.34,61.67,103.2486331,0.014,239.7203925,21.49,0,73,2.35,7,12.3,43.92,38.51,3.55,9.02,8,2.3,24.2,3.1,Middle,9434,8.6,72.23,19.18,22.34,73.92,0.16,1.45,0.64,0
6059099306,Orange,11.27163294,0.044,349.16,0,3410.060059,0.237,507.4251953,44.77,9.9,3,0.105,0,7,41.29,32.14,4.3,11.2,3.4,0.6,13.5,3.9,Middle,5909,11.12,79.56,9.32,13.17,74.31,1.52,0,7.62,0
6037406601,Los Angeles,12.09070866,0.056,756.45,0,1872.761292,0.086,409.3291662,68.88,0,0,0.045,3,0.3,40.66,36.32,2.96,9.56,11.1,5.5,22.2,3.4,Middle,5550,12.2,73.3,14.5,58.43,17.28,3.48,0.47,18.67,0
6073009603,San Diego,9.593755039,0.044,312.86,0,226.8178355,0.19,1816.099434,27.75,16.25,23.75,1.5,9,0.5,48.84,24.43,3.71,5.19,5.9,4.1,31.7,0.8,High,5544,8.33,81.11,10.55,27.02,42.71,12.75,0,11.45,1
